Sample,24.CB,27.CB,29.CB,31.CB,32.CB,33.CB,34.CB,35.CB,36.CB,37.CB,38.CB,39.CB
k__Bacteria;p__Chloroflexi;c__Thermomicrobia;o__JG30-KF-CM45;f__,0,0,0,0,0,0,0,0,66,0,0,0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae,0,0,109,0,0,0,0,54,65,0,0,0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Kineosporiaceae,0,0,0,9,0,0,0,156,166,0,84,0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__Conexibacteraceae,0,0,0,0,0,0,0,0,64,0,0,0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Mycobacteriaceae,34,0,0,0,0,0,45,63,0,0,0,0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae,0,0,0,0,102,0,0,0,109,0,0,0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Streptomycetaceae,0,0,0,0,0,0,0,89,87,0,0,0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__[Weeksellaceae],60,0,122,17,0,0,0,0,39,117,0,0
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae,0,0,61,0,0,0,76,0,0,0,0,0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Crenotrichaceae,0,0,0,0,0,0,0,61,0,0,0,0
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41;f__,0,0,0,0,0,0,0,0,115,0,0,0
k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__SM1D11;f__,0,0,0,0,0,0,0,0,0,60,0,0
k__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae,0,0,0,0,0,0,0,0,59,0,0,0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae,0,0,0,0,0,0,0,47,94,0,0,0
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae,0,0,41,0,0,0,0,92,42,64,0,0
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Ellin5301,0,0,0,0,0,0,0,0,58,0,0,0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae,0,0,74,0,0,0,57,0,0,0,0,0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermabacteraceae,0,0,0,0,0,0,0,90,0,0,0,0
k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae,0,0,0,0,0,35,0,57,0,0,0,0
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41;f__Ellin6075,0,0,0,20,0,0,0,57,0,0,0,0
k__Bacteria;p__Actinobacteria;c__MB-A2-108;o__0319-7L14;f__,0,0,0,0,0,0,0,0,100,0,0,0
k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__WD2101;f__,0,0,0,0,0,0,0,0,56,0,0,0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__,0,0,0,0,0,0,0,12,48,61,0,0
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__,0,0,0,0,0,0,0,0,54,0,0,0
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__,0,0,0,0,0,0,0,0,54,0,0,0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__,0,0,0,0,0,0,0,0,0,87,0,0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Gordoniaceae,0,0,0,0,0,0,0,21,0,89,0,0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae,41,0,0,0,0,0,0,53,52,0,0,0
k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__,0,0,52,0,45,0,0,0,0,0,0,0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Cellulomonadaceae,0,0,0,9,0,0,0,52,0,0,0,0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae],51,0,49,0,0,0,0,0,0,49,0,0
